"","X.1","X","sitename","plotid","genotype","date","Stem","Leaf","Root","Rhizome","precip","LAI","NDVI","Height"
"95520",136405,136405,"central","D",9926,"1997-07-18",10.65,4.06,2.94,3.24325508651355,0.00254088442414262,4.53789806423581,1.6,2.01
"63929",2715444,2715444,"south","D",10140,"1997-07-09",10.07,4.62,4.17,2.92083261206227,2.82393538511873,3.21,1.55,1.65
"67314",137618,137618,"central","B",9926,"1999-06-28",13.48,5.69,4.34,2.35354738257543,7.97151453605125,5.8952023864047,1.61,1.93
"99214",813924,813924,"central","A",9982,"2004-10-03",13.46,3.57,2.28,5.93884179999876,8.19921483426397,2.74,1.49,2.68
"23292",213135,213135,"south","D",9932,"2000-11-12",26.41,1.98,3.41,9.22223787569555,0.0135579153405453,1.39,1.35,3.3
"65740",2710274,2710274,"north","C",10140,"2007-08-26",1.3,2.93,2.81,3.4630555091556,8.1180270135047,2.47,1.59,0.82
"94178",2716355,2716355,"south","D",10140,"2007-09-27",4.07,3.01,2.93,3.46330078535933,4.08914401592057,2.07,1.43,0.79
"59227",814922,814922,"south","D",9982,"2004-08-26",30.84,4.66,3.54,10.4855338842,21.7666139953772,3.41,1.62,3.44
"83592",140306,140306,"central","A",9926,"1997-04-24",0.33,0.95,0.95,6.99479510174437,0.15003378531946,2.62469038320715,1.02,0.38
"46446",816748,816748,"south","C",9982,"2000-08-25",13.17,2.28,1.59,4.74327873899813,9.4490231642909,1.62,1.31,1.74
"43487",142621,142621,"south","C",9926,"1999-06-07",12.86,5.12,4.11,1.97267319198199,1.92150194614815,5.13203126447511,1.71,1.79
"17066",2716447,2716447,"south","B",10140,"1997-06-02",0.28,4.18,4.32,4.68427324569555,6.31209444126109,2.83,1.56,0.84
"4284",1342584,1342584,"central","C",10026,"2007-09-30",14.75,2.68,2.19,7.06416258043352,0,1.04274421508056,1.39,2.14
"37842",813187,813187,"central","A",9982,"1997-05-08",0.27,1.75,1.64,5.02705306519405,5.79687924871143,1.13,1.24,0.44
"50265",135440,135440,"north","A",9926,"1997-09-14",24.57,4.69,3.73,8.81043771016489,0.0554235724822035,5.20328030452679,1.52,3.1
"59637",212554,212554,"south","D",9932,"1997-06-13",8.68,3.97,4.81,3.83303530196297,16.6890744917748,3.01,1.63,1.14
"95433",213476,213476,"south","D",9932,"2007-09-12",5.41,3.29,3.74,3.84167329035263,8.86743391258276,2.2,1.51,0.86
"76328",1346685,1346685,"south","A",10026,"1997-04-25",0,0.47,0.46,3.92740854287633,0.00900510691476574,-1.61563187231692,0.89,0.28
"3478",207391,207391,"north","C",9932,"2007-08-07",3.45,3.36,3.15,3.58231651513022,2.30598356734159,2.3,1.44,0.85
"67515",2707765,2707765,"north","D",10140,"1999-08-24",22.05,9.11,8.43,3.21821448770993,13.7482922689935,6.1,1.6,2.82
"95658",210749,210749,"central","C",9932,"1999-04-05",0,1.12,1.04,10.4489254121311,4.53274103388691,0.76,1.17,0.47
"64587",208825,208825,"central","D",9932,"1999-07-27",17.95,6.51,5.23,2.67461287793407,0.0230733827061948,4.14,1.68,2.13
"73553",1336854,1336854,"north","B",10026,"1999-05-08",5.05,4.9,4.75,5.55750281380414,1.83592508221108,2.07382987436306,1.47,0.79
"4366",138166,138166,"central","B",9926,"2007-05-06",0,2.31,2.56,4.14825308063553,2.72716260167011,3.59335128494396,1.44,0.56
"82975",2710602,2710602,"north","A",10140,"1999-05-19",7.76,4.03,3.82,2.01956047733605,2.92111086364325,2.76,1.46,0.98
"75281",2716565,2716565,"south","B",10140,"1997-09-28",28.78,5.02,4.67,10.1871137281438,0.000638195223086271,3.46,1.54,3.54
"47683",215173,215173,"south","C",9932,"2004-05-12",2.21,3.44,3.15,4.63107979536993,0.173821035676113,2.17,1.41,0.58
"51342",206647,206647,"north","C",9932,"1997-09-22",18.83,4.21,4.73,8.29764290301061,0.0294404776454499,3.22,1.5,2.87
"36840",2716161,2716161,"south","D",10140,"2004-09-20",35.72,4.66,2.97,12.6666912785336,0,2.79,1.58,4.03
"45312",814684,814684,"south","D",9982,"2000-08-03",19.9,3.68,3.29,6.01733444419286,2.46424679776906,2.67,1.55,2.41
"84485",812247,812247,"central","C",9982,"1997-06-02",4.81,4.36,4.49,3.24061615671967,0.0305664213973681,3.12,1.49,0.79
"14467",810263,810263,"central","D",9982,"1997-07-28",18.09,3.98,2.82,4.18521752840734,0.0113376585853692,2.93,1.44,2.13
"96533",133431,133431,"north","B",9926,"1997-08-03",15.56,5.65,4.97,1.77554841255553,0,6.30674333468834,1.64,2.16
"21924",138613,138613,"central","C",9926,"1999-06-06",15.33,7.14,6.56,3.31982567172623,1.02350778474529,7.06892666931439,1.64,1.86
"80990",1346351,1346351,"south","C",10026,"2004-07-27",14.47,5.1,3.74,4.15320069390053,0.478969925784103,2.9291001840897,1.58,2.08
"97276",2714013,2714013,"central","C",10140,"2004-04-27",0,0.39,0.51,1.93267992230963,0.0401907841353756,0.31,0.95,0.3
"9696",212530,212530,"south","D",9932,"1997-05-20",4.28,3.08,3.83,5.5643715357898,18.5233173866513,2.24,1.49,0.67
"73797",1347504,1347504,"south","A",10026,"2007-04-30",0.73,1.69,1.88,4.13368993745864,0,0.430356261510316,1.28,0.46
"48507",2711212,2711212,"north","A",10140,"2007-06-15",4.17,2.78,2.81,3.42668457695159,0,1.98,1.3,0.77
"68215",1343253,1343253,"central","A",10026,"2004-06-02",0,2.13,1.78,0.992747607479682,0.282781107893006,-0.17408431882594,1.43,0.7
"94747",814990,814990,"south","D",9982,"2007-04-29",0,1.35,1.26,6.42346851341843,0,0.95,1.14,0.46
"35651",135706,135706,"north","A",9926,"2000-04-10",0,0.39,0.39,5.94738987066204,0.0152641522270859,2.29271653661338,0.93,0.28
"68902",2713774,2713774,"central","C",10140,"1999-09-13",24.75,9.03,8.23,3.06469105913591,3.58196537924691,6.28,1.78,2.86
"79613",815270,815270,"south","B",9982,"1997-07-09",13.7,4.54,3.46,2.98513172496338,2.85508005788276,3.21,1.64,1.76
"42605",2716880,2716880,"south","B",10140,"2000-06-16",8.04,3.85,3.88,2.55394711864577,3.0276182566955,2.87,1.59,1.51
"76302",134479,134479,"north","C",9926,"1997-10-22",26.04,4.09,3.56,9.82799652228606,0.0508546493509624,4.89945936492944,1.43,3.24
"49092",2712172,2712172,"central","D",10140,"2004-11-07",11.43,2.52,2.92,4.16468899973028,0,1.68,1.49,1.37
"73819",1345304,1345304,"south","B",10026,"2004-06-12",10.24,3.78,3.28,3.1386950403881,35.7480269391117,2.07287444667494,1.56,1.41
"76400",1337667,1337667,"north","C",10026,"1997-07-02",7.95,3.64,2.93,2.05681588974833,3.88858279329564,0.878620097872075,1.41,1.4
"90352",2716953,2716953,"south","B",10140,"2000-08-28",23.77,4.23,4.32,10.8795905935064,8.96595146381861,3.11,1.57,3.42
"50006",1345152,1345152,"south","B",10026,"2000-07-20",9.84,3.97,3.16,4.58560913077146,4.19598485590941,1.72018940378674,1.56,2.12
"69817",1344971,1344971,"south","B",10026,"1999-08-09",13.43,5.38,4.85,4.73759650490112,5.88983386654446,2.60463961605368,1.67,2.11
"82252",132541,132541,"north","D",9926,"1997-10-11",27.05,6.26,5.46,5.33757597890762,0.0232391471876141,6.48175700498096,1.67,3.25
"65713",1344647,1344647,"south","B",10026,"1997-04-25",0,1.11,1.08,7.43781548559807,0.635152730776741,-0.585863952535167,1.25,0.37
"58491",2709286,2709286,"north","B",10140,"2007-08-31",15.44,2.57,2.8,6.97193107549308,0.0829313729099932,1.97,1.35,2.17
"36627",204612,204612,"north","D",9932,"1997-06-06",4.7,5.1,5.79,3.52969012610321,0.436601575667499,3.76,1.56,1.03
"36620",1346514,1346514,"south","C",10026,"2007-05-30",1.29,3.34,3.47,2.96250613352986,0.0161593294553359,1.33481546387686,1.62,1.02
"53998",133495,133495,"north","B",9926,"1997-10-06",18.74,5.69,4.88,2.0952192727365,0.00470527971652491,6.33143925848879,1.69,1.99
"30912",2719150,2719150,"south","A",10140,"2004-08-13",21.47,6.11,4.88,5.17298298887911,0.100358500246593,4.47,1.68,2.9
"85323",211244,211244,"central","C",9932,"2004-07-31",18.47,3.93,2.46,3.84235495247159,0.519308832364449,2.89,1.52,2.1
"35161",2711928,2711928,"central","D",10140,"2000-09-04",16.92,2.57,2.17,7.21892509940473,0.00771102291881086,1.89,1.47,2.55
"32270",1345969,1345969,"south","C",10026,"1999-07-25",14.57,5.03,4.01,2.97645396129483,11.6880684002689,2.3539510665206,1.6,1.93
"50138",1347171,1347171,"south","A",10026,"2000-07-07",10.48,2.26,1.78,2.33583517218163,0.410886535750093,0.355315458949806,1.34,1.35
"90819",2718308,2718308,"south","C",10140,"2007-07-01",10.43,3.24,3.14,2.03884385184921,0.0034811135757352,2.42,1.44,1.34
"5920",814921,814921,"south","D",9982,"2004-08-25",24.6,4.65,3.22,10.390510950425,12.9969020063232,3.47,1.66,3.51
"91662",2708770,2708770,"north","B",10140,"1999-10-09",22.46,8.68,8.98,4.36548833474553,0.11024984813935,5.97,1.63,2.66
