"genotype","type","mean","lcl","ucl"
"hac","model",21.2,19.6,22.8
"iac","model",26.8,25.3,28.4
"jac","model",23.5,22.6,24.5
"hec","model",20.8,19.6,22.1
"iec","model",28.9,27.6,30.3
"jec","model",34.5,33.2,35.8
"hbc","model",24,22.7,25.3
"ibc","model",32.3,29.9,34.5
"jbc","model",28.6,27.5,29.4
"hgc","model",21.6,20,23.2
"igc","model",25.2,23.6,26.9
"jgc","model",16,15.4,16.6
"gdc","model",16.6,16,17.2
"hdc","model",15.4,14.5,16.3
"idc","model",24.7,22.6,26.9
"jdc","model",17.8,16.8,18.7
"gcc","model",20,18.7,21.2
"hcc","model",32.1,28.6,35.8
"icc","model",30,28.6,31.5
"jcc","model",27.9,26.2,29.4
"hfc","model",28.5,26.3,30.8
"ifc","model",30.4,28.4,32.4
"jfc","model",26.8,25.8,27.9
"had","model",26.1,23.2,29.6
"iad","model",30.2,28.6,31.4
"jad","model",24.8,23.6,25.9
"hed","model",25.1,22.5,27.8
"ied","model",30.9,29.5,32.2
"jed","model",37,35.8,38.1
"hbd","model",27.6,25.7,29.5
"ibd","model",35.4,34,37.1
"jbd","model",30.6,29.5,31.7
"hgd","model",25.8,23.4,28.4
"igd","model",29.2,27.2,30.8
"jgd","model",17.7,16.9,18.5
"gdd","model",17.8,17,18.6
"hdd","model",18.1,16.5,19.4
"idd","model",28.9,26.5,31.1
"jdd","model",20.4,19.2,21.4
"gcd","model",24.1,22,26.7
"hcd","model",38.7,34.1,42.7
"icd","model",32.1,31,33.5
"jcd","model",29.6,27.5,31.5
"hfd","model",34.6,31.1,38.3
"ifd","model",34.1,32.3,35.7
"jfd","model",28.2,27.1,29.5
"hab","model",17.8,16.8,18.9
"iab","model",22.6,20.7,24.5
"jab","model",21.8,20.8,22.7
"heb","model",18.1,17.1,19.1
"ieb","model",25.1,23.1,27
"jeb","model",31.3,29.7,32.8
"hbb","model",20.5,19.3,21.9
"ibb","model",27.1,24.2,30.1
"jbb","model",26.4,25.5,27.3
"hgb","model",17.9,16.6,19.4
"igb","model",21,19.3,22.7
"jgb","model",14.6,13.9,15.3
"gdb","model",14.9,14.1,15.7
"hdb","model",13.2,12.5,14
"idb","model",20.1,18.6,21.9
"jdb","model",15.8,15,16.5
"gcb","model",17,16.2,17.8
"hcb","model",25.8,23.2,28.2
"icb","model",27.4,25.2,29.5
"jcb","model",25.9,24.6,27.2
"hfb","model",23.3,21.2,25.4
"ifb","model",25.7,23.2,28.1
"jfb","model",24.9,23.8,25.9
"haa","model",14.6,13.7,15.7
"iaa","model",17.4,15.7,19.3
"jaa","model",18.6,17.2,19.7
"hea","model",15.1,14.1,16.2
"iea","model",19.5,17.2,21.7
"jea","model",25.3,22,28.5
"hba","model",16.5,15.2,18.1
"iba","model",20.3,17.6,22.7
"jba","model",22.7,20.8,24.4
"hga","model",14.4,13.2,15.6
"iga","model",16.3,14.7,17.8
"jga","model",13.8,13,14.4
"gda","model",12.4,11.5,13.3
"hda","model",11.3,10.5,12.1
"ida","model",15.8,14.5,17.3
"jda","model",14.5,14,15
"gca","model",14.2,13.2,15.4
"hca","model",19.5,16.8,21.7
"ica","model",21.2,18.1,24.5
"jca","model",21.6,19.5,23.8
"hfa","model",17.8,15.9,19.9
"ifa","model",19.6,16.9,22.1
"jfa","model",20.8,18.6,22.8
"iad","observed",20,15.8,24.2
"iac","observed",16,9.8,22.2
"iab","observed",17,15.3,18.7
"iaa","observed",11,5.9,16.1
"had","observed",26,20.4,31.6
"hac","observed",23,15.8,30.2
"hab","observed",17,13.7,20.3
