"","X","sitename","plotid","genotype","date","Stem","Leaf","Root","Rhizome","precip","LAI","NDVI","Height"
"2585623",2585623,"south","C",10129,"2000-09-18",19.69,2.67,2,6.73463145499977,0,1.73,1.24,2.27
"1517741",1517741,"north","B",10041,"2004-05-22",2.18,2.28,2.17,1.72860946698616,27.6169160014087,1.59,1.43,0.54
"1207741",1207741,"central","D",10015,"2000-07-04",2.38,1.92,1.45,1.69713731138904,1.57061601240374,1.37,1.42,1.18
"173942",173942,"central","B",9929,"2000-07-23",8.92,2.4,1.54,3.07098269618831,0.010881531968844,1.57,1.45,1.49
"496579",496579,"north","A",9956,"1999-07-07",20.04,5.72,5.34,5.4647382897659,0.00868217668345616,3.98,1.59,2.74
"990494",990494,"north","A",9997,"2007-06-16",3.54,2.62,2.33,3.07541854261628,0.00530756311527621,1.81,1.41,0.7
"1056278",1056278,"south","B",10002,"2000-04-29",0,2.05,2.22,6.69313467598668,0.194402680342684,1.45,1.35,0.5
"202106",202106,"south","B",9931,"2004-04-10",0,0.77,0.62,9.67924317895451,0.0421382734517836,0.43,1.03,0.35
"684924",684924,"south","A",9971,"1997-06-18",9.03,4.6,3.39,1.71933567708022,10.6724007089631,2.83,1.57,1.3
"1241164",1241164,"north","B",10018,"2007-05-27",1.14,1.96,1.88,2.51559608249244,15.6322753562913,1.38,1.27,0.5
"2646154",2646154,"south","C",10134,"2007-08-14",2.52,3.11,3.09,2.26024314306489,7.95675583890405,2.18,1.44,0.95
"1789644",1789644,"south","D",10063,"2004-10-14",34.19,3.85,3.75,12.1072883733191,11.4326200176924,2.63,1.55,3.92
"1708053",1708053,"south","A",10056,"1999-10-07",16.87,2.56,3.66,4.23386559696861,0,2,1.41,2.32
"305501",305501,"central","D",9940,"2004-08-28",17.44,4.68,3.48,5.31401890388352,0.174053992123751,3.39,1.51,2.33
"305132",305132,"central","D",9940,"1999-09-08",12.89,4.55,3.82,2.82115616920416,0,3.22,1.55,1.93
"965879",965879,"north","A",9995,"1999-07-20",27.65,7.01,6.29,7.39761457850046,3.34107503467789,4.87,1.56,3.23
"1581001",1581001,"central","D",10046,"2004-08-30",18.02,6.45,4.88,4.38672479223551,5.26072529731726,4.51,1.83,2.57
"1941961",1941961,"central","D",10076,"2004-07-31",17.7,6.33,4.6,3.87542291678978,20.0479162348383,3.62,1.55,2.06
"995623",995623,"south","D",9997,"2007-09-14",2.39,2.6,2.64,2.91279840083404,0.0123804115223571,1.82,1.49,0.71
"2642688",2642688,"central","A",10134,"2000-07-22",14.63,4.28,2.64,2.65794241113985,0.480084045070259,2.95,1.47,2.09
"1995933",1995933,"south","C",10080,"2000-07-07",10.49,2.5,2.09,2.26157695094768,1.31508207641606,1.51,1.36,1.38
"756791",756791,"south","C",9977,"2004-09-22",17.44,4.3,3.61,4.60705525781504,0,2.97,1.53,2.3
"1072529",1072529,"north","B",10004,"2004-05-31",0,2.67,2.31,1.46601482592574,35.4748642781696,1.75,1.32,0.85
"625922",625922,"north","D",9967,"1999-04-12",0,1.96,1.77,9.7541881048465,2.43702419448329,1.42,1.28,0.5
"1219334",1219334,"central","D",10016,"1997-06-07",0.03,3.58,3.43,2.47923961295311,8.13174233050976,2.59,1.52,0.95
"477420",477420,"south","D",9954,"1999-03-27",0,0.14,0.14,9.65152886778513,0.0120006560763847,0.09,0.82,0.2
"880751",880751,"north","C",9988,"2000-04-11",0,0.32,0.38,8.24980528474482,0.429103141596528,0.23,0.92,0.25
"2258139",2258139,"south","D",10102,"1997-05-19",0,2.09,2.18,3.68049286584588,5.72730323686392,1.46,1.49,0.57
"2509030",2509030,"central","C",10123,"1997-10-10",26.87,6.46,5.35,7.27160948705037,3.98722698586105,4.14,1.69,3.43
"73102",73102,"north","D",9921,"2007-09-08",17.03,2.62,2.28,6.87446804980624,6.34212285621209,1.75,1.43,2.27
"2502829",2502829,"south","A",10122,"2007-10-04",8.11,2.04,3.08,3.42380596950712,0.00124998254964071,1.56,1.22,1.36
"289787",289787,"north","B",9939,"1997-05-22",1.6,2.41,2.85,2.76948859906186,0.00176899013685779,1.72,1.37,0.54
"2035896",2035896,"north","C",10084,"1999-10-07",17.13,4.78,5.02,5.36321414006542,0,3.35,1.57,2.63
"718024",718024,"south","D",9974,"1997-09-05",25.68,3.99,3.51,8.57529300681653,0.0016746800715862,3.1,1.62,2.88
"1600885",1600885,"north","D",10048,"2000-07-18",18.57,5.5,3.74,3.28105889321659,0.0101359283902657,3.75,1.57,2.45
"748118",748118,"north","C",9977,"1997-09-08",22.59,4.12,3.37,7.55419670850609,3.14561518831113,2.77,1.67,2.7
"278807",278807,"north","C",9938,"1997-08-15",11.57,3.27,2.91,3.49727400349746,0.455553077849993,2.47,1.66,1.61
"1320150",1320150,"south","D",10024,"2000-10-22",27.33,2.74,2.93,9.38079079118898,0.00294525359659777,1.82,1.45,3.58
"38171",38171,"north","C",9918,"1997-09-08",17.02,3.99,3.2,7.89087650798282,3.14561518831113,2.75,1.41,2.88
"2514628",2514628,"south","A",10123,"2004-09-21",17.4,4.19,3.69,6.79437169185562,0.00166196775939047,2.8,1.47,2.6
"2080004",2080004,"south","C",10087,"1999-08-16",17.74,5.31,3.89,3.84241240546531,0.00715530187215925,3.54,1.59,2.36
"1434142",1434142,"north","C",10034,"1999-06-25",15.26,6.27,5.21,3.98940073442904,7.60969843625804,4.38,1.64,2.23
"2242547",2242547,"central","D",10101,"2000-06-02",3.02,1.72,1.46,1.08180141713843,0.00674999589732001,1.08,1.25,0.7
"2131328",2131328,"north","B",10092,"2000-08-13",22,5.07,3.26,6.31960059077677,0.0149023443292681,3.4,1.43,3.31
"301115",301115,"north","D",9940,"1999-07-05",17.55,7.45,6.58,2.9399806387298,0.000190614153968684,5.22,1.63,2.31
"2535740",2535740,"south","D",10125,"2007-05-30",0,2.78,2.83,4.16254823170193,0.103793251942993,2.04,1.37,0.68
"402439",402439,"central","B",9948,"1999-10-01",11.43,3.17,4.7,2.8361331153413,0.0154770365286942,2.37,1.4,1.9
"1167961",1167961,"north","D",10012,"2007-04-17",0,0.26,0.24,4.22841166080122,0,0.15,0.84,0.24
"1077777",1077777,"central","C",10004,"2007-07-11",8.18,2.45,2.29,2.49110985075,7.22031593242609,1.72,1.35,1.13
"2279977",2279977,"central","B",10104,"2004-10-11",14.21,3.35,3.72,5.58429922942906,0.020573628444652,2.25,1.45,2.04
"1531869",1531869,"north","A",10042,"2004-09-01",25.4,3.74,2.69,8.68125696835966,0.00131183916869452,2.49,1.5,2.85
"1434391",1434391,"north","C",10034,"2000-08-11",18.53,4.2,3.77,7.53354671940713,0.0672015943681499,2.83,1.55,2.73
"1490946",1490946,"south","C",10038,"2007-07-05",7.36,3.72,3.26,2.58888897023255,2.01686332937433,2.47,1.54,1.06
"1268645",1268645,"central","B",10020,"1999-04-14",0,2.26,2.31,5.87767577287749,0.0261042856941874,1.57,1.37,0.58
"739617",739617,"central","B",9976,"2004-05-28",10.76,5.56,4.65,5.63339266136527,3.857975132734,3.78,1.6,1.57
"2631071",2631071,"central","A",10133,"2007-09-08",8.75,2.33,1.81,5.30996760510583,8.90548515672693,1.62,1.33,1.84
"1661661",1661661,"north","B",10053,"1997-09-11",19.16,5.52,5.03,3.14343131980281,0.00672646040574655,3.85,1.66,2.46
"1258416",1258416,"central","A",10019,"1997-05-16",1.38,2.43,2.48,4.26540051029872,1.47016428167348,1.75,1.46,0.6
"828304",828304,"south","C",9983,"1997-06-22",8.22,4.24,2.84,1.43254865354578,1.78503846161305,2.6,1.6,1.26
"159946",159946,"north","A",9928,"2000-10-01",22.53,3.73,3.5,10.0866326596557,0.00957591894013483,2.42,1.49,3.13
"2473946",2473946,"central","A",10120,"1999-05-02",2.54,3.87,4.21,5.24724430041947,0.0140319716002595,2.8,1.58,0.76
"1968437",1968437,"central","A",10078,"1997-07-29",8.93,5.94,6.6,1.88786475146695,0.645579374602389,4.21,1.75,1.8
"1711525",1711525,"north","C",10057,"2007-08-16",0.42,2.31,2.26,2.58544758513051,0.176604647519905,1.71,1.56,0.65
"28056",28056,"central","D",9917,"1997-05-27",2.66,2.57,3.21,2.11841337953676,12.1919049845989,1.93,1.41,0.65
"1392566",1392566,"south","D",10030,"2007-04-21",0,0.49,0.5,6.12294368548438,0,0.35,0.91,0.27
"324233",324233,"south","A",9941,"1999-09-12",21.27,3.98,3.58,5.72348369332976,0,2.96,1.5,2.49
"130362",130362,"south","C",9925,"1997-05-25",2.86,2.55,2.87,2.05979470879738,2.96220226462383,1.88,1.33,0.62
"274047",274047,"south","B",9937,"1999-08-22",14.28,5.63,5.28,4.00242592032096,0.0032307587255392,3.87,1.53,1.92
"422017",422017,"north","D",9950,"2007-07-28",7,2.41,2.22,3.66100273285272,23.6209029726332,1.62,1.48,1.35
"2088055",2088055,"central","C",10088,"1999-09-10",15.69,8.12,6.95,2.79411682553382,0.00312238543042851,5.74,1.66,2.84
"99532",99532,"north","A",9923,"1999-08-18",16.87,5.71,5.01,5.85110833268188,0.00994602467884187,4.02,1.66,2.78
"1329705",1329705,"central","C",10025,"1997-07-11",18.31,6.67,5.51,2.0595701256715,0.0095322092162864,4.82,1.7,2.33
"613956",613956,"north","D",9966,"1999-06-18",18.39,7.78,7.18,3.34820163387703,0.105837801232212,5.41,1.67,2.07
"1717864",1717864,"south","B",10057,"1999-04-01",0,0.77,0.65,8.48037398235054,0.0386286297985586,0.52,1.09,0.31
"2265019",2265019,"north","C",10103,"2007-07-23",2.82,2.35,2.37,2.46837598966269,0.00115494137102123,1.59,1.29,0.68
"152354",152354,"south","D",9927,"1997-05-09",0.11,1.93,1.95,5.24382426710615,4.52017046003364,1.45,1.3,0.49
"2382167",2382167,"south","A",10112,"2004-06-15",18.6,6.09,4.43,3.87515989553493,0.966335628211107,4.18,1.58,2.4
"1868809",1868809,"north","A",10070,"2004-09-17",26.37,3.9,3.43,11.1052672373238,15.607601238722,2.96,1.63,3.33
"1890801",1890801,"north","B",10072,"2004-06-28",9.97,4.37,2.53,1.18586084796636,0.000119857793609885,3.19,1.56,1.48
