"","V1","V1","genotype","Vcmax","c2n_leaf","cuticular_cond","SLA","quantum_efficiency","leaf_respiration_rate_m2","stomatal_slope.BB","growth_respiration_coefficient","Jmax","chi_leaf","extinction_coefficient_diffuse"
"1","1","1",9915,29.6495120061651,23.6061687217198,2084.71856152347,14.6297724166986,0.0578091105630534,1.51458153753976,2.87322706392114,0.319435434568011,32.0126105951053,0.554254924372559,0.0358362951649456
"2","2","2",9916,27.9964641769591,36.4211056099931,3551.07804534921,14.9891383556651,0.0589746326639902,1.66527194704826,2.90831575379911,0.336027600245462,45.7015075923171,0.631997136230634,0.0435049140551832
"3","3","3",9917,31.2797419471913,14.8726846658026,5558.68426277215,15.1711393878214,0.0598296327384772,1.76649129876756,2.93200828387233,0.348628601494456,56.4776624929771,0.693979657762074,0.0488303773187212
"4","4","4",9918,26.8522819951141,27.4920942002453,9477.47731385534,15.326899449173,0.0605356737834529,1.85132167368619,2.94814107901767,0.358886919012214,66.1772587772146,0.751593038458536,0.0537767434293706
"5","5","5",9919,30.4278739035752,42.5014091194309,915.098995012366,15.5020599324181,0.0611616898840933,1.92150150627426,2.96222032289836,0.367031169179699,74.2167864500152,0.798583873146812,0.0579846011492718
"6","6","6",9920,28.8436335307307,19.5647633555298,2353.32244197134,15.8065502905959,0.0617790972942738,1.99077284366681,2.9735386686951,0.375205178853846,82.1585488340409,0.843611024509619,0.0621897732436619
"7","7","7",9921,32.5015685939844,31.7584281975684,3891.68157705657,12.4554225773068,0.0624109130277486,2.05846171431815,2.98490408209045,0.382621015477634,90.0503185595504,0.886952316324921,0.0659487991594727
"8","8","8",9922,25.9262190011125,52.1102698803993,6107.62767437961,14.7135237939115,0.063141709914917,2.12543285899346,2.99666994851023,0.389778619063335,97.7612998028549,0.929573844264747,0.0695819821637921
"9","9","9",9923,30.0241593764215,10.061438041083,10889.5104264968,15.0203574525739,0.063939564912836,2.19402619087347,3.00747235449237,0.396610683544567,105.184076086823,0.969049095647834,0.0735308048977019
"10","10","10",9924,28.4539905154354,24.9053872128228,1286.93844233817,15.1934313844281,0.0650814909971341,2.2819509056529,3.01900817924942,0.403247288736253,112.844551649205,1.01231219097933,0.0772982166248991
"11","11","11",9925,31.812724398981,38.2028830638617,2647.43287377614,15.3531404988561,0.054776573209845,2.38750657607796,3.03059015517005,0.410418483165884,120.900810276863,1.05400135180319,0.0808785232869913
"12","12","12",9926,27.4784473792014,16.5417313654973,4276.37436934743,15.5323519889726,0.0579321163712147,2.54357223916268,3.04291584368612,0.417058656103014,129.156440754997,1.09497288963527,0.0849139548817655
"13","13","13",9927,30.8145270736215,28.8339451980674,6749.4397423455,15.8823972710321,0.0590608812524505,1.06727748402677,3.05740566894915,0.424413537486764,136.771024663544,1.14038134230268,0.0889996196763246
"14","14","14",9928,29.2547437339933,45.1713288578956,12841.2330587838,13.4136760579105,0.0598929299552066,1.53225124760645,3.07496057436872,0.432001094097967,145.358420156745,1.18292363972175,0.0935583917339057
"15","15","15",9929,33.5669664547451,20.9919473691293,1572.96337591811,14.7787045140383,0.0605908786973245,1.67319819881968,3.09717328820545,0.440440431975311,154.333857037306,1.22765491041322,0.0978993938748509
"16","16","16",9930,25.0491133899974,33.2430937363289,2948.06315920825,15.0519973461995,0.0612234305484432,1.77278992370169,3.1324793563051,0.450596271307112,163.289726949945,1.2742412018276,0.101991602342043
"17","17","17",9931,29.833712748714,57.1175836403428,4687.14203383182,15.2170044452292,0.0618414194740069,1.85654416724208,2.74496780603408,0.464463583680262,173.262602146848,1.32420479517557,0.106655920513184
"18","18","18",9932,28.2261865493745,12.808302283703,7491.61777347353,15.3743266744692,0.062476520364221,1.92648178980025,2.87582373936042,0.483601345222542,184.615641561533,1.37353042840275,0.111297162492582
"19","19","19",9933,31.5246834619639,26.1528966967496,15677.8342772603,15.5670977407941,0.0631992476223781,1.99531983893119,2.90996250189662,0.264515214052729,198.337559495421,1.42377613222987,0.116262485062081
"20","20","20",9934,27.1600260710988,40.3817154367407,1840.92653635176,15.9803850713376,0.0640237742507618,2.06310236230521,2.93299471657598,0.320420037408795,213.693316153636,1.48095459560048,0.121864714615142
"21","21","21",9935,30.6046049780623,18.1489607411332,3230.05568988978,13.8949084466657,0.0652706910928938,2.13068829380987,2.94885002907874,0.336731002152857,232.626622809341,1.54450846306065,0.128014988111079
"22","22","22",9936,29.0523743636748,30.2322613444859,5100.85553680957,14.831844407424,0.0555843477522216,2.20090815320497,2.96303732903886,0.349221360944328,263.82827762747,1.61511543426841,0.134368446454249
"23","23","23",9937,32.9456775001936,48.3043327483863,8307.7835266035,15.077015231018,0.0580936625898382,2.28831919202558,2.97408183838201,0.359433691542744,6.55090557380094,1.70886580145837,0.142558699074826
"24","24","24",9938,26.4232656497107,22.2677734596188,21931.1482500939,15.2400857927073,0.0591394478959439,2.39511777464315,2.98584997531149,0.367526777999484,32.5209772793267,1.80734464888572,0.151036903475096
"25","25","25",9939,30.216307572872,34.7493871892139,488.832326274631,15.3963151911223,0.0599552814502907,2.5611184867746,2.99736290708202,0.37551792731575,46.1758169211264,1.92411441078359,0.161777356143459
"26","26","26",9940,28.64164283105,65.180270606645,2135.53766002854,15.6073936940506,0.060635865005134,1.17172369025085,3.0080895550924,0.383036508271327,56.7682087425484,2.05548886520289,0.173352728237652
"27","27","27",9941,32.1356355242196,7.11980772515637,3624.70527750258,16.1121631648172,0.061265239047173,1.54693943020614,3.01948864766677,0.390225288299827,66.3798865103624,2.27131042362351,0.186711903419653
"28","28","28",9942,27.7615793712952,24.0252008914184,5665.65365567014,14.1875117643122,0.0618946487819472,1.68263554036518,3.03129487407965,0.396909298458962,74.5205583738826,2.61299205663476,0.204568401929633
"29","29","29",9943,31.0558184589764,37.0021961164691,9760.88987044521,14.8791826490258,0.062542627721138,1.78011774374136,3.04354583134056,0.403713057872587,82.5898919107335,0.318874258581611,0.231418834274669
"30","30","30",9944,29.4623200464796,15.4388325698073,1000.58363663976,15.1021075396674,0.0632649072504275,1.86210839853528,3.05823885624449,0.410758165577501,90.3822100027865,0.558170201128758,0.279470000913146
"31","31","31",9945,34.5053719126483,27.9986886593737,2404.41175086227,15.2610465303403,0.0641247484867822,1.93254594053816,3.07632837099555,0.417464680238755,98.0229798871701,0.634188189771482,0.0188317671882196
"32","32","32",9946,24.2754980256226,43.361111632164,3971.47285792749,15.4222030749083,0.065432219814277,2.00089528497978,3.09905409694665,0.424697239269365,105.469290939768,0.696574643393812,0.0361406354358753
"33","33","33",9947,29.7444413811842,20.0675769920226,6230.09649368157,15.6497420296375,0.0559958748177002,2.06897056443434,3.13579309031991,0.43243932275257,113.160476389297,0.753229062246092,0.0436125653817078
"34","34","34",9948,28.1050914189475,32.2264352152978,11282.7350004767,16.3156896642389,0.0582030973117197,2.13634507915282,2.7697861910732,0.440901489364481,121.242600333853,0.800777740326714,0.0490495182507643
"35","35","35",9949,31.3991491368881,53.4678957703004,1338.48193500556,14.3842089741734,0.0592113304871217,2.20746524471551,2.87801467463765,0.451249926019053,129.519160178489,0.844844110573789,0.053911464844024
"36","36","36",9950,27.0160261745545,11.1224057204483,2709.88038235186,14.9207780582674,0.0600236490363255,2.2956576585286,2.91121349288815,0.465340318007867,137.061683024386,0.888016474224805,0.0581094830552167
"37","37","37",9951,30.521451299849,25.338853756259,4357.43958635132,15.1237735393405,0.0606869654982785,2.405217639704,2.93418256847523,0.48511756122,145.708741731164,0.930899919605133,0.0622668799268927
"38","38","38",9952,28.9512678994144,38.911587408791,6892.75934846684,15.2828086455395,0.0613191338102671,2.5790075485305,2.94966518247413,0.274757335752061,154.652171477118,0.970293970830393,0.0661257405799325
"39","39","39",9953,32.708570471941,17.1111656251853,13295.9491100247,15.4467336237159,0.061950455013222,1.25618926029946,2.96354237852095,0.321198609250829,163.753558564518,1.01329070530594,0.0696951895250854
"40","40","40",9954,26.2021797427937,29.2909503571609,1625.91431832738,15.690054535224,0.0626107576186097,1.56132559602281,2.97481401626881,0.337408607552006,173.765682792501,1.0551572649361,0.0736482446954036
"41","41","41",9955,30.1159407850943,46.1697604414373,3004.94169427959,16.5858162066915,0.0633354408900724,1.69179809326461,2.98663686285225,0.349926006102612,185.005007448037,1.09666403536625,0.077515182186075
"42","42","42",9956,28.5476038829976,21.3755984331348,4761.12579798768,14.5325794527539,0.0642223361893833,1.78643702774077,2.99795211529844,0.359893519002625,198.819768586986,1.14195832736152,0.0810131705859873
"43","43","43",9957,31.9598548219361,33.7142815418513,7621.97476330107,14.9572385719135,0.0655855883045754,1.86986711584315,3.00873367127965,0.367999484030701,214.619949948522,1.18463727580311,0.085071790733759
"44","44","44",9958,27.6122808627859,59.4707463917344,16432.4357819866,15.1468924197691,0.0563613943122995,1.93802391781438,3.02037084309802,0.375813211870654,233.385600167165,1.22920646735715,0.0891238850085075
"45","45","45",9959,30.9354236326052,13.6701482405857,1890.45731885482,15.3049501055424,0.0583063423145711,2.00465067786467,3.03209277535401,0.383571263842068,265.836562526636,1.27611240481347,0.0937215241274256
"46","46","46",9960,29.3616687438237,26.5736775655799,3290.69682443642,15.4745163135933,0.0592867842430869,2.07403723973288,3.04437148669638,0.390548756372077,9.09400317136869,1.32629576745324,0.0980087957905607
"47","47","47",9961,33.9590394421655,40.9550177654842,5179.22224277225,15.7434165092759,0.0600857256200836,2.14140481847264,3.05923630555185,0.397315151466607,33.1054981918977,1.37512356217832,0.102119652740999
"48","48","48",9962,25.5552651881891,18.6397164142668,8519.19839645875,17.161970016186,0.0607571208584368,2.21386586631429,3.07737175268256,0.404076070899122,46.7488489669578,1.42523811068729,0.106842740300909
"49","49","49",9963,29.9278982880337,30.7123153058787,23758.3777344625,10.5921750520801,0.0613852673321122,2.30221874505549,3.10077885947601,0.411072690575947,57.0774089449895,1.4837442553199,0.111400123487605
